id,post,category,confidence,error
2657,"Вы там вообще офонарели?! Бутер в буфете — 110 рэ. Сто-де-ся-ть! За пластиковую вилку теперь надо платить два рубля! Я че должен гречу с сосисками руками жрать? Охренели просто! 
Профсоюз студентов, вы куда смотрите? Нахрена нужна такая организация, если права студентов не защищают? Администрация универа, кто отвечает за соцвопросы? Бля, проще вместо пары в бургерную пойти, чтобы поесть — дешевле будет. А ещё вуз здорового образа жизни.
Наведите уже порядок с общепитом в РИНХе. У нас самая дорогая столовая получается. Для кого она? Для студентов?",0,0.0,Connection error.
6298,"Первокурсница педфака Катя Лобанова прекрасная девушка и лучшая староста! Спасибо за твои старания :з

Анон",0,0.0,Connection error.
7516,"Ребят, привет,
Как Вам новое правило досмотра в НГТУ? Очереди большие задолбали уже если честно знатно. Что думаете? Надолго это? Обычно как утихнет все, так и везде сразу тишина 
Анон",0,0.0,Connection error.
9655,"можно ли перевестись на другой иностранный язык? т. е. например изучаешь англ, а хочешь изучать немецкий. анон",0,0.0,Connection error.
5718,Мудрость гласит: «Наставникам тоже нужны наставники». Как сильные учились у сильнейших — смотри в фоторепортаже [id384337199|Максима].,0,0.0,Connection error.
2893,"Девчонки, одевайтесь теплее. На вас без слез не взглянешь, когда идешь в универ 😥 Будьте здоровы (психологически тоже😀) 
Анонимно",0,0.0,Connection error.
8419,У нас какая неделя с понедельника ? Анонимно,0,0.0,Connection error.
1549,"Близится сессия и у многих возникает вопрос: «Как сдать у несправедливого препода?»

Всё просто — нужно лишь написать мотивированное заявление на преподавателя и деканат разберётся с проблемой.",0,0.0,Connection error.
217,"Kороткo пpo погoду
Cмeшно до слeз, тoлькo нaвeрнoe oчeнь бoльно 🤣",0,0.0,Connection error.
5266,"Кто-то знает, можно ли уехать с зачетной недели и проставить зачеты потом, если у тебя все зачеты должны быть автоматом? Короче, любой способ чтоб уехать пораньше",0,0.0,Connection error.
9777,"привет! кто нибудь учился на программах магистратуры «управление инвестиционно-строительной деятельностью», «управление градостроительной деятельностью» или «стратегическое управление городом и урбанистика». можете поделиться впечатлениями от программ, преподавателей и довольны ли вы,что выбрали такое направление?
заранее благодарю!",0,0.0,Connection error.
7966,Сколько у вас стипендия? Социальная стипендия? Мат.помощь? 🙏🙏🙏,0,0.0,Connection error.
7802,"Сегодня утром пришла расчётка за соц.выплаты и сейчас пропала.У меня у одной так или у всех?
Анон",0,0.0,Connection error.
1566,"Боль - это смотреть довольные комментарии про повышенную стипендию, а потом вспомнить что в этом семаке ты ее не получаешь(",0,0.0,Connection error.
8607,"Хочешь такой же купончик??? О_о
Тогда тебе на ко.Красная 45",0,0.0,Connection error.
